ID,Length,start,finish,Dates,SD
1,5475,1,5475,20150101-20291231,20150101
2,5475,5476,10950,20300101-20441231,20300101
3,5475,10951,16425,20450101-20591231,20450101
4,5475,16426,21900,20600101-20741231,20600101
5,5475,21901,27375,20750101-20891231,20750101
6,4015,27376,31390,20900101-21001231,20900101
